functionName,scalingFactor,engine,downloadTime,executionTime,totalTime,queryID,sf_executionTime,sf_compilationTime
groupby,SF1,snowpandas,0.169253826141357,1.40320253372192,1.57245635986328,01b4218f-0302-a849-0002-ab2e000a3a02,515,206
groupby,SF10,snowpandas,0.21887993812561,4.06240296363831,4.28128290176392,01b421a7-0302-a845-0002-ab2e000a48fe,1485,229
join,SF1,snowpandas,0.712872505187988,41.8619709014893,42.5748434066773,01b4218f-0302-a835-0002-ab2e0009fb06,11926,517
join,SF10,snowpandas,0.744765758514404,393.294352769852,394.039118528366,01b421a7-0302-a848-0002-ab2e000a0a66,67131,389
selection,SF1,snowpandas,0.557892084121704,2.70371532440186,3.26160740852356,01b4218e-0302-a845-0002-ab2e000a4882,1010,334
selection,SF10,snowpandas,0.297346830368042,11.7577450275421,12.0550918579102,01b421a5-0302-a845-0002-ab2e000a48de,2866,283
sort,SF1,snowpandas,0.12948489189148,7.5264196395874,7.65590453147888,01b4218e-0302-a847-0002-ab2e000a19e6,3395,191
sort,SF10,snowpandas,0.128746032714844,52.2088944911957,52.3376405239105,01b421a6-0302-a835-0002-ab2e0009fb26,20430,259
filter,SF1,spark,0.238468408584595,3.16775560379028,3.40622401237488,None,None,None
filter,SF10,spark,1.03140091896057,15.5106534957886,16.5420544147491,None,None,None
groupby,SF1,spark,0.190584182739258,1.55935454368591,1.74993872642517,None,None,None
groupby,SF10,spark,1.00116443634033,3.54704713821411,4.54821157455444,None,None,None
join,SF1,spark,0.823479890823364,2.1436767578125,2.96715664863586,None,None,None
join,SF10,spark,1.70159697532654,3.56199049949646,5.263587474823,None,None,None
selection,SF1,spark,3.69352149963379,3.60574913024902,7.29927062988281,None,None,None
selection,SF10,spark,1.26089859008789,10.9040896892548,12.1649882793427,None,None,None
sort,SF1,spark,0.209358930587769,3.68252229690552,3.89188122749329,None,None,None
sort,SF10,spark,1.01679277420044,18.867121219635,19.8839139938355,None,None,None
filter,SF1,spark,0.245007753372192,3.2063889503479,3.45139670372009,None,None,None
filter,SF10,spark,1.25392532348633,15.7585849761963,17.0125102996826,None,None,None
groupby,SF1,spark,0.249849081039429,1.51851320266724,1.76836228370667,None,None,None
groupby,SF10,spark,1.06670141220093,3.338299036026,4.40500044822693,None,None,None
join,SF1,spark,0.872593641281128,2.140132188797,3.01272583007812,None,None,None
join,SF10,spark,1.69897937774658,3.32927703857422,5.0282564163208,None,None,None
selection,SF1,spark,4.14181637763977,3.28569459915161,7.42751097679138,None,None,None
